instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,nearby_old_context_count_m2_p5s,nearby_road_curvature_count_m5_p5s,nearby_steer_rate_count_p0_p4s,vehicle_read_status,vehicle_read_error,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,human_review_priority,old_v400_near_count,old_v400_overlap_count,old_v400_primary_count,old_v400_active_count,old_v400_max_primary_score,old_v400_max_trigger_score,old_v400_max_level_rank,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,old_v400_nearest_event_uid,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_s,road_design_curvature,road_design_nearest_dist_m,road_design_vehicle_time_gap_s,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,manual_label_anchor_rel_s,manual_label_start_rel_s,manual_label_end_rel_s,manual_label_confidence_max,road_guided_instability_score,road_guided_recommended_decision,road_guided_decision_reasons
vehicle_instability_onset__byx__2025_09_28_17_05_51__000231405,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,231.405,231.405,231.89,0.485,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_05_51__00020,ay,weak,1.54546,1.188815,0,0,0,ok,,2600,97,3.35747,-3.35747,1.54546,0.218327,0.135133,1.584671,0.0,114.996,-0.000175,0.268431,-0.268431,39.18,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,fix_road,fix_road,6088.199113,-0.0,283.914731,0.0,low,design_special_event_segment,0,none,,,,,50.89,hybrid_review_conflict_or_medium,base_dynamic_score=39.18; ay_support=+2.7; yaw_rate_support=+5; design_special_segment=+4
vehicle_instability_onset__byx__2025_09_28_17_15_52__000103655,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,103.655,103.655,105.09,1.435,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00016,ay,medium,2.22961,1.715085,3,0,1,ok,,2600,287,2.87277,-2.87277,2.22947,0.131135,0.103904,2.928567,9e-08,132.305,-0.084998,0.476999,-0.476999,36.97,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,3,2,1,0,1.241892,15.242,1,weak,straight,secondary,0.17,old_v400_context__byx__2025_09_28_17_15_52__00016,ok,curve1,curve1,3175.141588,-0.0,3.541311,0.0,high,design_curve_context,0,none,,,,,48.84,hybrid_review_conflict_or_medium,base_dynamic_score=36.97; ay_support=+1.7; lateral_support=+0.5; post_steering_response=+0.1; old_v400_nearby=+4.5; old_v400_primary=+5
vehicle_instability_onset__byx__2025_09_28_17_15_52__000404400,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,404.4,404.4,404.88,0.48,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_15_52__00049,ay,strong,2.65363,4.072082,2,0,1,ok,,2600,96,2.65363,-2.65363,2.65363,0.207249,0.091601,2.52643,0.0,122.913,0.178198,0.812276,-0.812276,33.87,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,2,2,0,2,1.769498,16.173333,3,strong_active,straight,secondary,1.06,old_v400_context__byx__2025_09_28_17_15_52__00083,ok,middle_section,section6,13288.536031,0.0,772.865712,0.0,very_low,design_regular_road,0,none,,,,,48.72,hybrid_review_conflict_or_medium,base_dynamic_score=33.87; ay_support=+1.3; lateral_support=+0.0; post_steering_response=+1.5; old_v400_nearby=+3.0; old_v400_active=+5; old_v400_strong=+4
vehicle_instability_onset__byx__2025_09_28_17_25_18__000125080,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,125.08,125.08,125.455,0.375,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00016,ay,weak,1.43509,1.103915,1,0,0,ok,,5200,150,4.04671,4.04671,1.43509,0.190754,0.141321,2.919122,6e-08,120.037,-0.156382,0.256912,-0.256912,42.29,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,1.980937,13.380667,1,weak,straight,secondary,1.555,old_v400_context__byx__2025_09_28_17_25_18__00019,ok,curve1,curve1,2881.141588,0.0,4.682285,0.0,high,design_curve_context,0,none,,,,,53.39,hybrid_review_conflict_or_medium,base_dynamic_score=42.29; ay_support=+4.1; yaw_rate_support=+5; lateral_support=+0.5; old_v400_nearby=+1.5; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__byx__2025_09_28_17_25_18__000372680,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,372.68,372.68,373.515,0.835,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00042,ay,weak,1.69439,1.303377,0,0,0,ok,,5200,334,3.24549,3.24549,1.69439,0.181503,0.130886,3.0554,0.0,131.56,0.03351,0.254818,-0.254818,38.77,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,curve2,curve2,9263.880274,0.0,732.555791,0.0,very_low,design_curve_context,0,none,,,,,46.93,hybrid_review_conflict_or_medium,base_dynamic_score=38.77; ay_support=+2.5; yaw_rate_support=+5; lateral_support=+0.7; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__byx__2025_09_28_17_25_18__000499125,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,499.125,499.125,503.4,4.275,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00056;raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00057,ay;ay,medium;medium,2.4971,2.53068,2,0,0,ok,,5201,1711,2.4971,2.4971,2.4971,0.125255,0.080308,3.33606,1.1e-07,131.11,0.052883,0.62378,-0.62378,41.27,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,2,2,0,0,1.07838,13.962667,1,weak,straight,secondary,0.06,old_v400_context__byx__2025_09_28_17_25_18__00083,ok,differentmu_road,mu1,14234.160724,0.0,693.353339,0.0,very_low,design_high_risk_surface,0,none,,,,,50.99,hybrid_review_conflict_or_medium,base_dynamic_score=41.27; ay_support=+1.0; lateral_support=+1.0; post_steering_response=+0.7; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0
vehicle_instability_onset__byx__2025_09_28_17_25_18__000507245,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,507.245,507.245,527.465,20.22,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,4,0,4,raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00058;raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00059;raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00060;raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00061,ay;ay;ay;ay,weak;weak;weak;extreme,10.670196,16.043742,0,1,0,ok,,5200,8088,2.58969,-2.58969,10.6702,0.101332,0.083971,3.398442,0.00099682,134.881,-0.010646,0.397062,-0.397062,41.07,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,high,0,0,0,0,,,0,none,none,none,,,ok,differentmu_road,mu1,14536.160724,0.0,667.884482,0.0,very_low,design_high_risk_surface,0,none,,,,,47.33,hybrid_review_conflict_or_medium,base_dynamic_score=41.07; ay_support=+1.2; lateral_support=+1.1; multi_second_dynamic_episode=+4
vehicle_instability_onset__byx__2025_09_28_17_25_18__000553985,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,553.985,553.985,556.335,2.35,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00064;raw_vehicle_dynamic_onset__byx__2025_09_28_17_25_18__00065,ay;ay,medium;medium,1.71018,1.841283,0,0,1,ok,,5200,939,2.05185,2.05185,1.71018,0.088687,0.067496,2.838621,2.1e-06,128.825,-0.220784,0.324107,0.324107,36.96,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,differentmu_road,mu1,14653.160724,0.0,467.735184,0.0,low,design_high_risk_surface,0,none,,,,,45.47,hybrid_review_conflict_or_medium,base_dynamic_score=36.96; ay_support=+0.1; lateral_support=+0.4; design_high_risk_surface=+8
vehicle_instability_onset__byx__2025_09_28_17_35_43__000019360,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_35_43,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,19.36,19.36,20.555,1.195,raw_vehicle_dynamic_onset_non_steering,instability_roll_only,0,2,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_35_43__00002;raw_vehicle_dynamic_onset__byx__2025_09_28_17_35_43__00003,roll_rate;roll_rate,extreme;extreme,0.978494,19.569886,1,0,1,ok,,2600,238,0.673333,0.673333,0.432894,1.00235,0.0684,1.356967,1e-08,7.88394,0.628319,0.2803,0.2803,40.98,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,0,1,0,1.382878,13.497333,1,weak,straight,primary,3.865,old_v400_context__byx__2025_09_28_17_35_43__00001,ok,middle_section,section1,0.624693,0.0,8.492209,0.0,high,design_regular_road,0,none,,,,,54.16,hybrid_review_conflict_or_medium,base_dynamic_score=40.98; roll_rate_support=+6.7; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_onset__byx__2025_09_28_17_46_00__000081635,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,81.635,81.635,85.165,3.53,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00013;raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00014,ay;ay,weak;weak,1.57264,1.209723,1,0,1,ok,,5200,1412,2.65769,2.65769,1.57264,0.106738,0.148633,3.35654,0.0,103.206,0.098262,0.578577,-0.578577,43.63,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,0.490224,16.696667,1,weak,straight,secondary,1.98,old_v400_context__byx__2025_09_28_17_46_00__00012,ok,middle_section,section2,2131.516895,0.0,4.533514,0.0,high,design_regular_road,0,none,,,,,53.01,hybrid_review_conflict_or_medium,base_dynamic_score=43.63; ay_support=+1.3; yaw_rate_support=+5; lateral_support=+1.0; post_steering_response=+0.5; old_v400_nearby=+1.5
vehicle_instability_onset__byx__2025_09_28_17_46_00__000185200,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,185.2,185.2,186.04,0.84,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00026,ay,medium,2.07124,1.593262,0,0,0,ok,,5200,337,3.685,-3.685,2.07124,0.090022,0.126377,2.717225,0.0,122.3175,-0.112661,0.390866,0.390866,38.9,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section3,5151.57442,0.0,283.606799,0.0,low,design_regular_road,0,none,,,,,47.53,hybrid_review_conflict_or_medium,base_dynamic_score=38.90; ay_support=+3.4; yaw_rate_support=+5; lateral_support=+0.3
vehicle_instability_onset__byx__2025_09_28_17_46_00__000328295,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,328.295,328.295,331.565,3.27,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00049;raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00050,ay;ay,weak;medium,2.31378,2.522,1,0,0,ok,,5200,1309,2.62405,-2.62405,2.31378,0.094128,0.085362,3.310729,0.0,123.4815,-0.2755,0.582852,0.582852,41.28,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,0,0,1.117961,22.107333,1,weak,straight,secondary,1.56,old_v400_context__byx__2025_09_28_17_46_00__00063,ok,curve2,curve2,9370.880274,0.0,820.70067,0.0,very_low,design_curve_context,0,none,,,,,45.55,hybrid_review_conflict_or_medium,base_dynamic_score=41.28; ay_support=+1.2; lateral_support=+1.0; post_steering_response=+0.6; old_v400_nearby=+1.5
vehicle_instability_onset__byx__2025_09_28_17_46_00__000466330,road_guided_vehicle_instability_v0_1,byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,466.33,466.33,493.765,27.435,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,4,0,4,raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00068;raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00069;raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00070;raw_vehicle_dynamic_onset__byx__2025_09_28_17_46_00__00071,ay;ay;ay;ay,medium;medium;extreme;weak,7.06482,5.434477,0,1,0,ok,,5200,10975,3.57206,-3.57206,7.06482,0.050487,0.116675,1.007961,0.00250152,114.4045,-0.026704,0.230557,0.230557,46.36,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,high,0,0,0,0,,,0,none,none,none,,,ok,differentmu_road,mu1,14688.160724,-0.0,654.871595,0.0,very_low,design_high_risk_surface,0,none,,,,,53.5,hybrid_review_conflict_or_medium,base_dynamic_score=46.36; ay_support=+3.1; multi_second_dynamic_episode=+4
vehicle_instability_onset__cwh__2025_09_26_19_23_28__000070985,road_guided_vehicle_instability_v0_1,cwh,2025_09_26_19_23_28,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_23_28_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_23_28_vehicle.csv,c9ae8b2b55355449f073e1a9de5f1f183c1d5d3b724dad0ea8b7dce9a77d1812,70.985,70.985,76.835,5.85,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,raw_vehicle_dynamic_onset__cwh__2025_09_26_19_23_28__00005;raw_vehicle_dynamic_onset__cwh__2025_09_26_19_23_28__00006,ay;ay,medium;medium,2.25085,2.095939,1,0,0,ok,,2600,1169,2.25085,-2.25085,2.25085,0.104037,0.074126,2.144789,0.0,138.51,-0.226369,0.402298,0.402298,38.84,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,1,0,0.989062,13.3808,1,weak,straight,primary,1.075,old_v400_context__cwh__2025_09_26_19_23_28__00003,ok,longstraight,longstraight,1536.624693,0.0,2.812668,0.0,high,design_regular_road,0,none,,,,,49.84,hybrid_review_conflict_or_medium,base_dynamic_score=38.84; ay_support=+0.5; multi_second_dynamic_episode=+4; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_onset__cwh__2025_09_26_19_27_21__000271510,road_guided_vehicle_instability_v0_1,cwh,2025_09_26_19_27_21,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,5990b24325f474f71ba9b64920ced7ea4748d301d3b46d74c85d72d84924dc63,271.51,271.51,272.285,0.775,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__cwh__2025_09_26_19_27_21__00018,ay,medium,2.12069,2.903709,1,0,1,ok,,2600,155,2.88732,-2.88732,2.12069,0.147588,0.10346,3.090376,0.0,107.498,-0.469057,0.954957,0.954957,35.27,reject_low_instability_evidence,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,1,0,1.386989,17.336933,1,weak,curve,primary,1.415,old_v400_context__cwh__2025_09_26_19_27_21__00024,ok,curve1,curve1,4174.140203,-0.00729802,4239.26246,0.0,very_low,design_curve_context,0,none,,,,,46.36,hybrid_review_conflict_or_medium,base_dynamic_score=35.27; ay_support=+1.8; lateral_support=+0.7; post_steering_response=+2.1; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_onset__cwh__2025_09_26_19_27_21__000323655,road_guided_vehicle_instability_v0_1,cwh,2025_09_26_19_27_21,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_27_21_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_27_21_vehicle.csv,5990b24325f474f71ba9b64920ced7ea4748d301d3b46d74c85d72d84924dc63,323.655,323.655,330.9,7.245,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__cwh__2025_09_26_19_27_21__00022,ay,medium,3.29939,2.537992,0,0,0,ok,,2600,1448,3.29939,-3.29939,3.29939,0.042649,0.155329,0.915884,0.00614988,76.1983,0.194954,0.499513,0.499513,40.84,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,0,0,0,0,,,0,none,none,none,,,ok,curve1,curve1,4176.14019,-0.00729802,5658.476591,0.0,very_low,design_curve_context,0,none,,,,,52.65,hybrid_review_conflict_or_medium,base_dynamic_score=40.84; ay_support=+2.6; yaw_rate_support=+5; post_steering_response=+0.2; multi_second_dynamic_episode=+4; curve_context_kept_because_dynamic_response_is_strong
vehicle_instability_onset__cwh__2025_09_26_19_35_47__000164855,road_guided_vehicle_instability_v0_1,cwh,2025_09_26_19_35_47,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f,164.855,164.855,170.435,5.58,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,3,0,3,raw_vehicle_dynamic_onset__cwh__2025_09_26_19_35_47__00006;raw_vehicle_dynamic_onset__cwh__2025_09_26_19_35_47__00007;raw_vehicle_dynamic_onset__cwh__2025_09_26_19_35_47__00008,ay;ay;ay,weak;medium;weak,2.32909,2.050744,2,0,0,ok,,2600,1117,2.32909,2.32909,2.32909,0.066279,0.071345,3.078953,0.0,125.1185,0.017628,0.622908,-0.622908,38.38,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,2,2,1,0,1.042571,13.962667,1,weak,straight,secondary,0.95,old_v400_context__cwh__2025_09_26_19_35_47__00008,ok,middle_section,section3,4798.57442,-0.0,281.577344,0.0,low,design_regular_road,0,none,,,,,52.45,hybrid_review_conflict_or_medium,base_dynamic_score=38.38; ay_support=+0.7; lateral_support=+0.7; post_steering_response=+0.7; multi_second_dynamic_episode=+4; old_v400_nearby=+3.0; old_v400_primary=+5
vehicle_instability_onset__cwh__2025_09_26_19_35_47__000413285,road_guided_vehicle_instability_v0_1,cwh,2025_09_26_19_35_47,原始车辆数据/cwh/Entity_Recording_2025_09_26_19_35_47_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\cwh\Entity_Recording_2025_09_26_19_35_47_vehicle.csv,f62a7f66b19ff747f4e688cd8d24fbf18a0388155a0f1ab37ca87fa018478d9f,413.285,413.285,415.135,1.85,raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,raw_vehicle_dynamic_onset__cwh__2025_09_26_19_35_47__00019,ay,medium,2.87224,2.944244,1,0,0,ok,,2600,371,2.87224,2.87224,2.87224,0.148958,0.120291,2.889077,0.0,111.484,-0.437729,0.577355,0.577355,39.67,needs_human_review,road_setting_guided_vehicle_instability_onset_predict_future_steering_response,Road design and old v400 event context are used only as supporting context. Instability onset remains grounded in non-steering vehicle dynamics; steering metrics are response evidence.,normal,1,1,1,0,1.060631,21.409333,1,weak,straight,primary,0.885,old_v400_context__cwh__2025_09_26_19_35_47__00024,ok,middle_section,section6,13539.536031,0.0,747.521007,0.0,very_low,design_regular_road,0,none,,,,,53.91,hybrid_review_conflict_or_medium,base_dynamic_score=39.67; ay_support=+1.7; yaw_rate_support=+5; lateral_support=+0.5; post_steering_response=+0.5; old_v400_nearby=+1.5; old_v400_primary=+5
