episode_uid,subject,session_stamp,vehicle_file,episode_index_in_record,episode_start_s,episode_end_s,episode_duration_s,condition_peak_s,vehicle_response_onset_s,driver_action_onset_s,vehicle_peak_s,driver_peak_s,response_order,driver_minus_vehicle_onset_s,vehicle_risk_level,vehicle_component_count,vehicle_score_peak,condition_score_peak,driver_score_peak,driver_response_type,anchor_quality,is_low_mu_context,is_curve_context,is_roll_context,is_lateral_dynamic_context,min_mu,median_speed_kmh,peak_abs_ay,peak_abs_yaw_rate,peak_abs_roll_rate,peak_abs_roll,steer_angle_range,steer_rate_peak,brake_range,speed_range_kmh,lat_offset_range,recommended_model_window_start_s,recommended_model_window_end_s,road_module_names,road_design_categories,nearest_road_candidate_s,nearest_road_candidate_delta_s,episode_group_id,episode_group_cn,episode_reason_cn,recommended_task_cn,review_panel_path,trajectory_3d_path,has_review_panel_v1_1,has_trajectory_3d_v1_1,manual_decision_v1_1,manual_decision_reason_v1_1,is_train_candidate_v1_1,is_control_candidate_v1_1,is_discarded_v1_1
rec_v1_byx_2025_09_28_17_05_51_0000,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0,0.0,4.55,4.55,1.145,1.095,0.72,1.145,0.86,驾驶员先动,-0.375,极强,1,4.0,4.0,1.46291,制动为主,窗口截断,True,False,True,False,0.8,5.42781294117647,0.2100707352941176,0.0074886385294117,0.5046973235294117,0.0421299764705882,0.0071558647058823,0.160159169550173,0.176291,4.786298823529414,0.1696506647058823,0.0,6.55,middle_section,连续超车负荷事件段,0.0,-2.275,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0000.png,,True,False,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_05_51_0001,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,1,36.005,38.285,2.279999999999994,37.39,37.385,,37.39,36.98,缺少一方起点,,极强,1,4.0,4.0,0.4471971316697562,无明显操作,坐标风险高,True,False,False,True,0.8,130.08782352941176,1.7108741176470588,0.0523190647058823,0.0679762499999999,0.022621944117647,0.5704660588235294,0.9796234602072276,0.0,2.651029411764682,3.4257123529411766,34.005,40.285,middle_section,连续超车负荷事件段,37.425,0.2800000000000011,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_05_51_0001.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0001.png,,True,False,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_05_51_0004,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,4,153.075,154.715,1.6400000000000148,154.215,154.21,153.105,154.215,153.73,驾驶员先动,-1.1050000000000182,极强,1,4.0,4.0,1.8997,制动为主,坐标风险高,True,False,False,True,0.8,116.3740588235294,0.3597079999999999,0.0118543294117647,0.0033366194117647,0.0048262144117647,0.0371089411764705,0.0562531141868219,0.1471742647058823,13.159794117647053,3.488929117647059,151.075,156.715,,,148.45,-5.444999999999993,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0004.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0004.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0004_3d.png,True,True,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_05_51_0012,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,12,343.98,345.9,1.919999999999959,345.315,345.31,,345.315,345.19,缺少一方起点,,极强,1,4.0,4.0,0.4832781967315144,无明显操作,坐标风险高,True,False,False,True,0.8,132.4671470588235,1.6219214705882352,0.0520185058823529,0.0712074323529411,0.0250906647058823,0.5368172647058823,1.0586621107276062,0.0,2.4715294117647204,3.421486470588235,341.98,347.9,,,351.1,6.160000000000025,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_05_51_0012.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0012.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_05_51_0012_3d.png,True,True,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_05_51_0021,byx,2025_09_28_17_05_51,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,21,546.41,565.435,19.024999999999977,548.42,548.415,546.67,548.42,559.635,驾驶员先动,-1.7450000000000043,极强,5,4.0,4.0,4.0,方向盘快速操作,窗口截断,False,True,True,True,1.0,77.87986176470588,8.870351176470589,0.6052692058823529,0.833670205882353,0.15122,5.217465294117647,12.127203114164274,0.5805339999999999,101.5397488235294,4.073974411764706,544.41,565.435,,,531.548,-24.374499999999895,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_05_51_0021.png,,True,False,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_15_52_0000,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,0,0.05,1.045,0.995,0.72,0.065,,0.72,0.05,缺少一方起点,,极强,1,4.0,4.0,0.4452292551167568,无明显操作,窗口截断,True,False,True,False,0.8,9.726128823529413,0.2526638529411765,0.040635394117647,0.5302292352941176,0.0427956735294117,0.1207614117647057,1.0980174740484414,0.0,5.501905588235295,0.1320029999999999,0.0,3.045,middle_section,连续超车负荷事件段,0.0,-0.5475,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_15_52_0000.png,,True,False,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_15_52_0002,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,2,69.865,70.935,1.0700000000000074,69.875,69.87,,69.875,69.865,缺少一方起点,,极强,1,4.0,4.0,0.3,无明显操作,坐标风险高,True,False,False,True,0.8,117.32261764705882,0.4489996176470588,0.016306094117647,0.0151733088235294,0.0076593444117647,0.076850994117647,0.3761803979239573,0.0,0.2171764705882424,3.4385270588235297,67.865,72.935,,,74.805,4.405000000000001,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_15_52_0002.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_15_52_0002.png,,True,False,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_15_52_0004,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,4,122.895,124.49,1.5949999999999989,123.175,,122.905,122.905,123.175,缺少一方起点,,弱,0,0.2027292458231387,2.18979,2.91972,制动为主,正常,True,False,False,False,0.8,120.40208823529412,0.7352903823529411,0.0245277529411764,0.0189299088235294,0.0102396676470588,0.0052462647058823,0.0525417993079814,0.2472771,15.342941176470587,0.3121272058823529,120.895,126.49,curve1,弯道路段,126.053,2.360500000000002,review,边界复核样本,强度或语义边界不清,人工复核,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_15_52_0004.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_15_52_0004.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_15_52_0004_3d.png,True,True,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_15_52_0005,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,5,127.14,128.545,1.404999999999987,127.5,127.495,127.15,127.5,127.415,驾驶员先动,-0.3449999999999988,极强,1,4.0,4.0,2.970190000000001,制动为主,坐标风险高,True,False,False,True,0.8,105.28961764705882,0.545793088235294,0.0188032588235294,0.0075235497058823,0.0073136444117647,0.0225551470588235,0.0538906574393941,0.2591089294117647,15.222802941176482,3.4661426470588235,125.14,130.545,curve1,弯道路段,126.053,-1.789500000000004,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_边界复核样本\rec_v1_byx_2025_09_28_17_15_52_0005.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_15_52_0005.png,,True,False,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
rec_v1_byx_2025_09_28_17_15_52_0008,byx,2025_09_28_17_15_52,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,8,205.86,210.175,4.314999999999998,205.87,205.865,,205.87,207.52,缺少一方起点,,极强,1,4.0,4.0,0.6020495399529994,无明显操作,坐标风险高,True,False,False,True,0.8,122.98810294117646,3.213399411764706,0.1204391764705882,0.0966405499999999,0.0446622088235294,0.9236382647058824,1.4847652249128644,0.0,9.044588235294114,3.4428752941176466,203.86,212.175,fix_road,施工/维修变道/道路受限,204.818,-3.1995000000000005,review,需要复核,窗口/坐标风险,人工复核后再决定,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\conservative_extreme_保守\弱操作极限样本\rec_v1_byx_2025_09_28_17_15_52_0008.png;F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\review_panels\review_需要复核\rec_v1_byx_2025_09_28_17_15_52_0008.png,F:\data_set_process\data_process\05_rebuild_from_raw_20260511\02_samples\record_level_episode_reconstruction_v1_0\figures\trajectory_3d_static\rec_v1_byx_2025_09_28_17_15_52_0008_3d.png,True,True,暂不进入训练,用户复核后认为需要复核类基本可舍去，先整体降为舍弃/暂缓,False,False,True
