window_config_id,split_strategy,split,model_name,n_samples,rmse_steer,peak_direction_accuracy,wrong_side_rate,large_response_recall,peak_amp_mae,peak_amp_ratio_pred_over_gt_mean,severe_amp_under_rate,peak_time_mae_s,onset_delay_mae_s,tail_abs_error_mean,tail_drift_risk_rate,zero_crossing_mismatch_rate,reversal_count_exact_match_rate,multi_segment_gt_rate,multi_segment_pred_rate,difficult_top20_rmse,track_id
pre2_label2_old_main,session_level_split,val,train_mean_by_event_type,10,0.5226613868399225,0.5,0.5,0.0,0.3690996214747429,4.054849068703629,0.2,0.5284999996423722,0.6759999983012677,0.13855142020620406,0.3,0.4,0.0,0.4,1.0,1.106231986924774,A_instant2s_core
pre2_label2_old_main,session_level_split,val,zero_response_hold_current,10,0.48575622930777823,0.9,0.1,0.0,0.48712150752544403,0.0,1.0,1.0594999939203262,1.6170000007376075,0.1604297637939453,0.4,0.6,0.3,0.4,0.0,1.0478049477932243,A_instant2s_core
pre3_label3_response_coverage,session_level_split,test,direction_gated_knn_template_no_subject,40,0.6934965829193556,0.8,0.2,0.875,0.41851563160307703,1.1821959602005336,0.1,0.46487498879432676,0.48899999959394336,0.18691784191760236,0.05,0.075,0.0,0.95,0.975,0.7303580269705259,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,formal_ridge_vehicle_context_no_subject,40,0.6523924662460296,0.85,0.15,0.125,0.8260058525949716,0.6863516198221022,0.75,0.426500004529953,1.3271249950397759,0.183897180238273,0.05,0.1,0.05,0.95,1.0,0.9757145615664984,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,history_trend_500ms,40,1.3760175481114687,0.175,0.825,0.875,0.4868401419284055,1.337812118549116,0.075,1.4583749935030936,0.5026250014081597,1.351638281912892,0.925,0.95,0.025,0.95,0.0,1.8873507912618814,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,knn_template_context_no_subject,40,0.6258290902785323,0.825,0.175,0.75,0.4456664647907019,0.8862115362530432,0.175,0.4134999968111515,0.436000001989305,0.17103834235458634,0.05,0.1,0.0,0.95,1.0,0.7100143976557005,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,peak_scaled_template_context_no_subject,40,0.6885973667109297,0.8,0.2,0.875,0.40501671098172665,1.1445583775417607,0.05,0.45812499672174456,0.3442500000819564,0.18846833972202148,0.075,0.075,0.0,0.95,1.0,0.7395625117726926,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,rbf_kernel_ridge_context_no_subject,40,0.533666689438957,0.775,0.225,0.75,0.409504209831357,1.1097294736608476,0.125,0.4347499951720238,0.25762499812990425,0.18175094176549464,0.05,0.075,0.0,0.95,0.975,0.6789069643375906,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,ridge_rich_context_no_subject,40,0.536450450516907,0.825,0.175,0.5,0.5529706440865993,1.1007266648812437,0.35,0.4195000097155571,0.38612499879673123,0.18831288154324283,0.075,0.025,0.025,0.95,1.0,0.7571023760780592,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,ridge_rich_history_no_subject,40,0.538776040937721,0.825,0.175,0.5,0.5651419721543789,0.9545783741751027,0.35,0.4292500227689743,0.4378750019706786,0.18929548313244596,0.075,0.025,0.0,0.95,1.0,0.7702127368939254,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,ridge_vehicle_history_no_subject,40,0.5652097313197472,0.8,0.2,0.375,0.6021612919867039,1.0375420901441825,0.45,0.46875000149011614,0.680249996483326,0.1922662463301094,0.075,0.05,0.0,0.95,1.0,0.7736038231140744,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,train_mean_all,40,0.7764011561159192,0.575,0.425,0.0,1.055760818719864,0.16729474718379161,0.925,0.976625008881092,2.3238750021904706,0.187539135129191,0.075,0.05,0.0,0.95,1.0,1.23038410563295,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,train_mean_by_event_type,40,0.7769074725115026,0.6,0.4,0.0,0.9565712690353394,0.25972556075716835,0.9,0.5920000046491622,1.8745000045746565,0.1854900406236993,0.075,0.05,0.025,0.95,1.0,1.261035100268856,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,test,zero_response_hold_current,40,0.7757451900414308,0.425,0.575,0.0,1.169846086204052,0.0,1.0,1.5416250064969064,2.7225000012665985,0.187251896597445,0.075,0.95,0.025,0.95,0.0,1.2280494181365456,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,direction_gated_knn_template_no_subject,188,2.701096476101991e-07,1.0,0.0,1.0,2.4441272971477913e-07,0.9999999397160947,0.0,0.0009574477976941048,0.0,9.303349020712554e-08,0.0,0.005319148936170213,1.0,0.925531914893617,0.925531914893617,4.3380595244064943e-07,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,formal_ridge_vehicle_context_no_subject,188,0.6587985140358699,0.8191489361702128,0.18085106382978725,0.0,0.825934646135949,0.9293688683572097,0.6861702127659575,0.5474734056661738,0.8667553205518647,0.16085839381729725,0.06914893617021277,0.09042553191489362,0.03723404255319149,0.925531914893617,1.0,1.0865105584169412,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,history_trend_500ms,188,1.3641887207686985,0.25,0.75,0.8297872340425532,0.6241015928891547,1.9327122225198985,0.1276595744680851,1.3992553155948506,0.5207712751753787,1.3731574139215963,0.8936170212765957,0.9148936170212766,0.015957446808510637,0.925531914893617,0.0,1.8059114477571951,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,knn_template_context_no_subject,188,5.033755526144247e-07,1.0,0.0,1.0,5.559946232019586e-07,0.9999996065211998,0.0,0.009042553128080165,0.0,1.5088478400510676e-07,0.0,0.015957446808510637,1.0,0.925531914893617,0.925531914893617,7.631298235109923e-07,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,peak_scaled_template_context_no_subject,188,0.04764675507813923,1.0,0.0,1.0,0.006825022790779142,0.9986381108691744,0.0,0.0007446814090647596,0.0003989361860650651,0.0006553798627871228,0.0,0.005319148936170213,1.0,0.925531914893617,0.925531914893617,0.10597915567785414,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,rbf_kernel_ridge_context_no_subject,188,0.33011095985179567,0.9414893617021277,0.05851063829787234,0.9148936170212766,0.3130859541607664,0.9549159427900055,0.02127659574468085,0.30026595286549407,0.19082446689618396,0.10480268023124192,0.015957446808510637,0.06382978723404255,0.06914893617021277,0.925531914893617,0.9680851063829787,0.520692098776021,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,ridge_rich_context_no_subject,188,0.5362762284801309,0.8617021276595744,0.13829787234042554,0.3191489361702128,0.5608384449906806,1.1621931850217224,0.3191489361702128,0.47140957771780645,0.3548670251298934,0.14756642836262937,0.05851063829787234,0.09574468085106383,0.005319148936170213,0.925531914893617,1.0,0.8754664077643332,B_response3s_strict_core
pre3_label3_response_coverage,session_level_split,train,ridge_rich_history_no_subject,188,0.5717357606757415,0.8031914893617021,0.19680851063829788,0.2553191489361702,0.5729388663188574,1.1906246104383478,0.3191489361702128,0.46792553309747514,0.3717287251468193,0.14848620853762381,0.05851063829787234,0.0851063829787234,0.005319148936170213,0.925531914893617,1.0,0.9138091086505405,B_response3s_strict_core
