seed,fold,model,subject_alias,recording_alias,time_block_id,windows,action_nmae
20260904,1,hold,S002,R006,R006-B0000,40,0.2119603455066681
20260904,1,hold,S002,R006,R006-B0001,17,0.6349117755889893
20260904,1,hold,S002,R006,R006-B0002,50,0.40311485528945923
20260904,1,hold,S002,R006,R006-B0003,50,0.26236164569854736
20260904,1,hold,S002,R006,R006-B0004,50,0.5181639194488525
20260904,1,hold,S002,R006,R006-B0005,50,0.4373064339160919
20260904,1,hold,S002,R006,R006-B0006,50,0.3593362867832184
20260904,1,hold,S002,R006,R006-B0007,50,0.19894075393676758
20260904,1,hold,S002,R006,R006-B0008,50,0.372894823551178
20260904,1,hold,S002,R006,R006-B0009,50,0.5025893449783325
20260904,1,hold,S002,R006,R006-B0010,50,0.3438264727592468
20260904,1,hold,S002,R006,R006-B0011,50,0.3973715603351593
20260904,1,hold,S002,R006,R006-B0012,50,1.7894673347473145
20260904,1,hold,S002,R006,R006-B0013,46,1.057175636291504
20260904,1,hold,S002,R007,R007-B0000,40,0.6261447072029114
20260904,1,hold,S002,R007,R007-B0001,50,0.6214771866798401
20260904,1,hold,S002,R007,R007-B0002,50,0.6493520140647888
20260904,1,hold,S002,R007,R007-B0003,50,0.4717588722705841
20260904,1,hold,S002,R007,R007-B0004,50,0.3177250027656555
20260904,1,hold,S002,R007,R007-B0005,50,0.3647327721118927
20260904,1,hold,S002,R007,R007-B0006,50,0.28118789196014404
20260904,1,hold,S002,R007,R007-B0007,50,0.22032855451107025
20260904,1,hold,S002,R007,R007-B0008,50,0.23059673607349396
20260904,1,hold,S002,R007,R007-B0009,50,0.2765503227710724
20260904,1,hold,S002,R007,R007-B0010,50,1.2008273601531982
20260904,1,hold,S002,R007,R007-B0011,50,0.35643428564071655
20260904,1,hold,S002,R007,R007-B0012,50,0.8186883330345154
20260904,1,hold,S002,R007,R007-B0013,30,1.2671501636505127
20260904,1,hold,S002,R008,R008-B0000,40,0.9111522436141968
20260904,1,hold,S002,R008,R008-B0001,50,0.16955119371414185
20260904,1,hold,S002,R008,R008-B0002,50,0.00851698499172926
20260904,1,hold,S002,R008,R008-B0003,50,0.6131337881088257
20260904,1,hold,S002,R008,R008-B0004,50,0.3548247218132019
20260904,1,hold,S002,R008,R008-B0005,50,0.3563595712184906
20260904,1,hold,S002,R008,R008-B0006,50,0.23788371682167053
20260904,1,hold,S002,R008,R008-B0007,50,0.2762857675552368
20260904,1,hold,S002,R008,R008-B0008,50,0.26407936215400696
20260904,1,hold,S002,R008,R008-B0009,50,0.3293675184249878
20260904,1,hold,S002,R008,R008-B0010,50,0.40744999051094055
20260904,1,hold,S002,R008,R008-B0011,50,0.2378196120262146
20260904,1,hold,S002,R008,R008-B0012,50,0.5993210673332214
20260904,1,hold,S002,R008,R008-B0013,10,0.44053778052330017
20260904,1,hold,S002,R009,R009-B0000,40,0.6360037326812744
20260904,1,hold,S002,R009,R009-B0001,50,0.5331870317459106
20260904,1,hold,S002,R009,R009-B0002,50,0.41732528805732727
20260904,1,hold,S002,R009,R009-B0003,50,0.3624364733695984
20260904,1,hold,S002,R009,R009-B0004,50,0.26574280858039856
20260904,1,hold,S002,R009,R009-B0005,50,0.2296883910894394
20260904,1,hold,S002,R009,R009-B0006,50,0.3091652989387512
20260904,1,hold,S002,R009,R009-B0007,19,0.22902151942253113
20260904,1,hold,S002,R009,R009-B0008,50,0.3498680889606476
20260904,1,hold,S002,R009,R009-B0009,50,0.2941562533378601
20260904,1,hold,S002,R009,R009-B0010,50,0.32112008333206177
20260904,1,hold,S002,R009,R009-B0011,50,0.41701892018318176
20260904,1,hold,S002,R009,R009-B0012,43,1.752342939376831
20260904,1,hold,S002,R010,R010-B0000,40,0.29369232058525085
20260904,1,hold,S002,R010,R010-B0001,50,0.5996741652488708
20260904,1,hold,S002,R010,R010-B0002,50,0.3126506507396698
20260904,1,hold,S002,R010,R010-B0003,50,0.3057085871696472
20260904,1,hold,S002,R010,R010-B0004,50,0.35430434346199036
20260904,1,hold,S002,R010,R010-B0005,50,0.2919160723686218
20260904,1,hold,S002,R010,R010-B0006,50,0.24637261033058167
20260904,1,hold,S002,R010,R010-B0007,50,0.3120320439338684
20260904,1,hold,S002,R010,R010-B0008,50,0.23495601117610931
20260904,1,hold,S002,R010,R010-B0009,50,0.3064625859260559
20260904,1,hold,S002,R010,R010-B0010,50,0.31989604234695435
20260904,1,hold,S002,R010,R010-B0011,50,0.09181248396635056
20260904,1,hold,S002,R010,R010-B0012,50,0.022068757563829422
20260904,1,hold,S002,R010,R010-B0013,8,0.020116370171308517
20260904,1,hold,S002,R011,R011-B0000,40,0.45679759979248047
20260904,1,hold,S002,R011,R011-B0001,50,0.5138153433799744
20260904,1,hold,S002,R011,R011-B0002,50,0.45791077613830566
20260904,1,hold,S002,R011,R011-B0003,50,0.30100205540657043
20260904,1,hold,S002,R011,R011-B0004,50,0.29693469405174255
20260904,1,hold,S002,R011,R011-B0005,50,0.32651081681251526
20260904,1,hold,S002,R011,R011-B0006,50,0.422947496175766
20260904,1,hold,S002,R011,R011-B0007,50,0.6357070803642273
20260904,1,hold,S002,R011,R011-B0008,50,0.9431837201118469
20260904,1,hold,S002,R011,R011-B0009,50,0.5840997695922852
20260904,1,hold,S002,R011,R011-B0010,50,0.7820389270782471
20260904,1,hold,S002,R011,R011-B0011,42,0.5877375602722168
20260904,1,hold,S002,R012,R012-B0000,40,0.7644926309585571
20260904,1,hold,S002,R012,R012-B0001,50,0.9944777488708496
20260904,1,hold,S002,R012,R012-B0002,50,0.6356245279312134
20260904,1,hold,S002,R012,R012-B0003,50,0.41783955693244934
20260904,1,hold,S002,R012,R012-B0004,50,0.26838815212249756
20260904,1,hold,S002,R012,R012-B0005,50,0.3396133780479431
20260904,1,hold,S002,R012,R012-B0006,50,0.6918544173240662
20260904,1,hold,S002,R012,R012-B0007,50,1.0593407154083252
20260904,1,hold,S002,R012,R012-B0008,50,0.36607909202575684
20260904,1,hold,S002,R012,R012-B0009,50,0.5390123724937439
20260904,1,hold,S002,R012,R012-B0010,50,0.6733273863792419
20260904,1,hold,S002,R012,R012-B0011,50,0.8528726100921631
20260904,1,hold,S002,R012,R012-B0012,50,0.3187907934188843
20260904,1,hold,S002,R012,R012-B0013,50,0.49000462889671326
20260904,1,hold,S002,R012,R012-B0014,50,1.2285934686660767
20260904,1,hold,S002,R012,R012-B0015,50,0.8827435970306396
20260904,1,hold,S002,R012,R012-B0016,16,0.039735473692417145
20260904,1,hold,S002,R013,R013-B0000,40,0.5989816188812256
20260904,1,hold,S002,R013,R013-B0001,50,0.46202823519706726
20260904,1,hold,S002,R013,R013-B0002,50,0.6229771971702576
20260904,1,hold,S002,R013,R013-B0003,50,0.8834388256072998
20260904,1,hold,S002,R013,R013-B0004,50,1.2312283515930176
20260904,1,hold,S002,R013,R013-B0005,50,0.8511967658996582
20260904,1,hold,S002,R013,R013-B0006,50,1.660423755645752
20260904,1,hold,S002,R013,R013-B0007,50,0.9882073402404785
20260904,1,hold,S002,R013,R013-B0008,50,0.916574239730835
20260904,1,hold,S002,R013,R013-B0009,50,0.7172914147377014
20260904,1,hold,S002,R013,R013-B0010,50,0.5855066180229187
20260904,1,hold,S002,R013,R013-B0011,50,0.48449191451072693
20260904,1,hold,S002,R013,R013-B0012,50,1.385767936706543
20260904,1,hold,S002,R013,R013-B0013,50,0.7872473001480103
20260904,1,hold,S002,R013,R013-B0014,50,0.832987368106842
20260904,1,hold,S002,R013,R013-B0015,50,0.7499889135360718
20260904,1,hold,S002,R013,R013-B0016,50,1.3120516538619995
