instability_event_uid,dataset_candidate_version,subject,session_stamp,vehicle_raw_relative_path,vehicle_raw_absolute_path,vehicle_raw_sha256,anchor_time_rel_s,event_start_rel_s,event_end_rel_s,event_duration_s,instability_anchor_source,instability_role,ay_seed_count,roll_rate_seed_count,merged_seed_count,source_event_uids,source_event_types,source_event_levels,max_source_anchor_value,max_source_peak_score,vehicle_read_status,vehicle_read_error,event_index_in_session,review_point_count,event_point_count,peak_abs_ay_window,signed_peak_ay_window,peak_abs_ay_event,peak_abs_roll_rate_window,peak_abs_yaw_rate_window,lateral_distance_range_window,peak_abs_curvature_window,median_speed_kmh_window,steering_baseline_pre1s,steering_delta_peak_post3s,steering_signed_delta_peak_post3s,instability_review_score,codex_recommended_decision,causal_setting,leakage_note,old_v400_near_count,old_v400_overlap_count,old_v400_primary_count,old_v400_active_count,old_v400_max_primary_score,old_v400_max_trigger_score,old_v400_max_level_rank,old_v400_max_level,old_v400_road_type_mode,old_v400_phase_mode,old_v400_min_abs_anchor_gap_s,old_v400_nearest_event_uid,road_design_map_status,road_design_module_name,road_design_instance_name,road_design_s,road_design_curvature,road_design_nearest_dist_m,road_design_vehicle_time_gap_s,road_design_mapping_reliability,road_design_risk_class,manual_label_count,manual_label_decision_mode,manual_label_anchor_rel_s,manual_label_start_rel_s,manual_label_end_rel_s,manual_label_confidence_max,manual_label_match_type,road_guided_instability_score,road_guided_recommended_decision,road_guided_decision_reasons
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000001100,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,1.1,1.1,1.465,0.365,all_raw_vehicle_dynamic_onset_non_steering,instability_roll_only,0,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00001,roll_rate,extreme,0.508285,10.165697,ok,,1,1821,74,0.29092,0.29092,0.23508,1.563051,0.022437,0.999379,1e-08,8.14533,-0.014486,0.000349,-0.000349,36.1,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section1,5.624693,-0.0,8.459645,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,44.1,hybrid_reject_low_evidence,base_dynamic_score=36.10; roll_rate_support=+8.0
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000203940,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,203.94,203.94,204.525,0.585,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00015,roll_rate,weak,0.058423,1.168457,ok,,9,2601,118,2.2649,-2.2649,1.46101,0.208856,0.110864,3.28046,0.0,122.886,-0.165108,0.315381,0.315381,42.12,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section3,5146.57442,0.0,281.180347,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,43.59,hybrid_reject_low_evidence,base_dynamic_score=42.12; ay_support=+0.5; lateral_support=+0.9
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000277480,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,277.48,277.48,278.48,1.0,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00024,ay,weak,1.35826,1.044815,ok,,15,2601,201,1.35826,1.35826,1.35826,0.052816,0.041169,3.12733,2e-08,134.612,-0.276111,0.238586,0.238586,21.99,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,middle_section,section4,7460.25558,0.0,280.525698,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,22.74,hybrid_reject_low_evidence,base_dynamic_score=21.99; lateral_support=+0.8
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000459350,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,459.35,459.35,459.635,0.285,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00045,ay,weak,1.59372,1.225938,ok,,23,2601,58,1.738,-1.738,1.59372,0.062814,0.062883,3.19834,1.1e-07,130.835,-0.275238,0.253945,0.253945,22.31,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,differentmu_road,mu1,14060.160724,-0.0,705.582506,0.0,very_low,design_high_risk_surface,0,none,,,,,nearest_or_exact,23.15,hybrid_reject_low_evidence,base_dynamic_score=22.31; lateral_support=+0.8
vehicle_instability_allraw__byx__2025_09_28_17_05_51__000540335,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_05_51,原始车辆数据/byx/Entity_Recording_2025_09_28_17_05_51_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_05_51_vehicle.csv,0669b6e6f787d648bf573404d22e53e3e60d8bf6cfe2ed7072c7305575b2f93c,540.335,540.335,541.19,0.855,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_05_51__00052,roll_rate,medium,0.07663,1.532601,ok,,26,2601,172,2.29687,2.29687,1.975409,0.07663,0.087518,3.63185,0.00552242,108.539,-0.137183,0.281522,0.281522,39.06,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,differentmu_road,mu1,14373.160724,-0.0,971.002808,0.0,very_low,design_high_risk_surface,0,none,,,,,nearest_or_exact,41.01,hybrid_reject_low_evidence,base_dynamic_score=39.06; ay_support=+0.6; lateral_support=+1.4
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000041470,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,41.47,41.47,43.61,2.14,all_raw_vehicle_dynamic_onset_non_steering,instability_roll_only,0,2,2,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00009;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00010,roll_rate;roll_rate,weak;weak,0.059802,1.196045,ok,,4,2601,429,2.16026,2.16026,1.01236,0.10316,0.078028,3.09,0.0,128.435,-0.295484,0.35116,0.35116,37.34,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,2,2,0,0,0.728807,19.547667,1,weak,straight,secondary,1.225,old_v400_context__byx__2025_09_28_17_15_52__00007,ok,middle_section,section1,1041.624693,0.0,4.448849,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,41.37,hybrid_reject_low_evidence,base_dynamic_score=37.34; ay_support=+0.3; lateral_support=+0.7; old_v400_nearby=+3.0
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000079570,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,79.57,79.57,80.49,0.92,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00014,roll_rate,weak,0.063467,1.26935,ok,,6,2601,185,1.683564,1.683564,1.56046,0.090901,0.088068,2.424971,0.0,127.587,-0.234049,0.398284,0.398284,36.15,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,0,0,0.734582,13.904667,1,weak,straight,secondary,0.13,old_v400_context__byx__2025_09_28_17_15_52__00011,ok,middle_section,section2,2335.516895,0.0,3.59661,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,37.65,hybrid_reject_low_evidence,base_dynamic_score=36.15; old_v400_nearby=+1.5
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000373385,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,373.385,373.385,376.065,2.68,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00049;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00050,ay;ay,weak;weak,1.51767,1.167438,ok,,18,2601,537,1.51767,1.51767,1.51767,0.047779,0.050965,1.915401,0.0,126.488,-0.216421,0.333707,0.333707,32.17,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,0,0.466792,26.878,1,weak,straight,primary,0.605,old_v400_context__byx__2025_09_28_17_15_52__00080,ok,stop,stop,12185.911338,0.0,863.630676,0.0,very_low,design_special_event_segment,0,none,,,,,nearest_or_exact,38.67,hybrid_reject_low_evidence,base_dynamic_score=32.17; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000441115,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,441.115,441.115,444.955,3.84,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,2,1,3,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00055;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00056;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00057,ay;roll_rate;ay,weak;weak;weak,1.6485,1.268077,ok,,21,2601,769,1.6485,-1.6485,1.6485,0.060471,0.059853,1.994222,0.00099683,107.93,0.027925,0.351858,-0.351858,38.57,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,0,0.554944,16.348133,1,weak,straight,primary,3.155,old_v400_context__byx__2025_09_28_17_15_52__00091,ok,differentmu_road,mu1,14519.160724,0.0,671.748301,0.0,very_low,design_high_risk_surface,0,none,,,,,nearest_or_exact,35.07,hybrid_reject_low_evidence,base_dynamic_score=38.57; old_v400_nearby=+1.5; old_v400_primary=+5; normal_curve_context_without_enough_instability=-10
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000494150,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,494.15,494.15,498.695,4.545,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,3,2,3,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00061;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00062;allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00063,ay;roll_rate;ay,weak;weak;weak,1.7588,1.352923,ok,,23,2601,910,1.7588,-1.7588,1.7588,0.065738,0.066401,3.20529,2.1e-06,104.323,-0.099484,0.336674,-0.336674,39.55,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,differentmu_road,mu1,14636.160724,-0.0,500.291824,0.0,very_low,design_high_risk_surface,0,none,,,,,nearest_or_exact,40.4,hybrid_reject_low_evidence,base_dynamic_score=39.55; lateral_support=+0.8
vehicle_instability_allraw__byx__2025_09_28_17_15_52__000503065,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_15_52,原始车辆数据/byx/Entity_Recording_2025_09_28_17_15_52_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_15_52_vehicle.csv,89b465112ea75c97ee6c1ec1b0242816839b20f6c26302a11072bba769d63a75,503.065,503.065,503.365,0.3,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,allraw_nonsteering_seed__byx__2025_09_28_17_15_52__00064,ay,weak,1.40763,1.082792,ok,,24,2601,61,1.69267,-1.69267,1.40763,0.052993,0.056064,3.15797,5.826e-05,116.333,-0.109083,0.225147,0.225147,21.61,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,0,0.575713,17.569333,1,weak,straight,primary,1.39,old_v400_context__byx__2025_09_28_17_15_52__00099,ok,differentmu_road,mu1,14505.160724,-0.0,736.174992,0.0,very_low,design_high_risk_surface,0,none,,,,,nearest_or_exact,28.9,hybrid_reject_low_evidence,base_dynamic_score=21.61; lateral_support=+0.8; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000014930,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,14.93,14.93,15.52,0.59,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,allraw_nonsteering_seed__byx__2025_09_28_17_25_18__00002,ay,weak,1.60877,1.237515,ok,,2,2601,119,1.60877,-1.60877,1.60877,0.052929,0.070441,1.836583,0.0,97.08866,0.031939,0.34924,-0.34924,22.79,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,0,1,0,0.484208,17.453333,1,weak,straight,primary,3.915,old_v400_context__byx__2025_09_28_17_25_18__00001,ok,middle_section,section1,200.624693,0.0,6.423157,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,29.29,hybrid_reject_low_evidence,base_dynamic_score=22.79; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000106485,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,106.485,106.485,107.18,0.695,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_25_18__00010,roll_rate,weak,0.072544,1.450881,ok,,7,2601,140,1.66888,1.66888,1.66888,0.072544,0.069207,3.12825,0.0,112.3482,-0.054454,0.459022,-0.459022,34.17,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,0,0.629524,14.079333,1,weak,straight,primary,0.025,old_v400_context__byx__2025_09_28_17_25_18__00015,ok,middle_section,section2,2257.516895,-0.0,3.632407,0.0,high,design_regular_road,0,none,,,,,nearest_or_exact,41.46,hybrid_reject_low_evidence,base_dynamic_score=34.17; lateral_support=+0.8; post_steering_response=+0.0; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_25_18__000438840,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_25_18,原始车辆数据/byx/Entity_Recording_2025_09_28_17_25_18_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_25_18_vehicle.csv,76b6f176acdb4aa57f18c32d4de11e87c8c09bd708780400439194f7383c4cd3,438.84,438.84,439.26,0.42,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,allraw_nonsteering_seed__byx__2025_09_28_17_25_18__00041,ay,weak,1.57385,1.210654,ok,,24,2601,85,1.57385,1.57385,1.57385,0.060991,0.059608,3.294234,0.0,131.1428,-0.179071,0.261625,-0.261625,21.73,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,0,0,0,0,,,0,none,none,none,,,ok,stop,stop,12394.911338,0.0,842.873181,0.0,very_low,design_special_event_segment,0,none,,,,,nearest_or_exact,22.68,hybrid_reject_low_evidence,base_dynamic_score=21.73; lateral_support=+1.0
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000304585,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_35_43,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,304.585,304.585,305.105,0.52,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,1,0,1,allraw_nonsteering_seed__byx__2025_09_28_17_35_43__00048,ay,weak,1.46017,1.123208,ok,,21,2601,105,2.34705,-2.34705,1.46017,0.102613,0.078419,3.22469,2e-08,125.375,0.021118,0.3269,-0.3269,28.51,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,0,1,0,1.1884,16.289733,1,weak,straight,primary,4.765,old_v400_context__byx__2025_09_28_17_35_43__00062,ok,middle_section,section4,7254.25558,0.0,283.874549,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,36.57,hybrid_reject_low_evidence,base_dynamic_score=28.51; ay_support=+0.7; lateral_support=+0.9; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000380470,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_35_43,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,380.47,380.47,382.04,1.57,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_35_43__00058,roll_rate,medium,0.087124,1.742489,ok,,26,2601,315,1.98214,1.98214,1.98214,0.087124,0.055842,2.7916,0.0,140.618,-0.159698,0.355523,-0.355523,39.48,needs_human_review,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,0,0,0.932162,20.595333,1,weak,straight,secondary,1.18,old_v400_context__byx__2025_09_28_17_35_43__00078,ok,curve2,curve2,9519.880274,-9.353e-05,939.952971,0.0,very_low,design_curve_context,0,none,,,,,nearest_or_exact,31.33,hybrid_reject_low_evidence,base_dynamic_score=39.48; lateral_support=+0.3; old_v400_nearby=+1.5; normal_curve_context_without_enough_instability=-10
vehicle_instability_allraw__byx__2025_09_28_17_35_43__000552150,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_35_43,原始车辆数据/byx/Entity_Recording_2025_09_28_17_35_43_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_35_43_vehicle.csv,facc231296f1672792e40223812a82a39b208c27b27fd545c550204a1448f76b,552.15,552.15,555.68,3.53,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_only,2,0,2,allraw_nonsteering_seed__byx__2025_09_28_17_35_43__00076;allraw_nonsteering_seed__byx__2025_09_28_17_35_43__00077,ay;ay,weak;weak,1.86023,1.430946,ok,,33,2601,707,1.86023,-1.86023,1.86023,0.079438,0.057515,3.26262,2.16e-06,117.444,-0.198095,0.381529,0.381529,35.32,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,0,0.808887,15.592,1,weak,straight,primary,1.45,old_v400_context__byx__2025_09_28_17_35_43__00105,ok,differentmu_road,mu1,14626.160724,-0.0,515.902744,0.0,very_low,design_high_risk_surface,0,none,,,,,nearest_or_exact,42.74,hybrid_reject_low_evidence,base_dynamic_score=35.32; lateral_support=+0.9; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000258840,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,258.84,258.84,260.06,1.22,all_raw_vehicle_dynamic_onset_non_steering,instability_ay_roll,1,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_46_00__00034,roll_rate,medium,0.086497,1.729939,ok,,16,2600,245,1.83345,-1.83345,1.83345,0.086497,0.060939,3.042815,2e-08,133.8402,-0.222704,0.407883,0.407883,37.36,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,1,1,0,0.75517,19.896667,1,weak,straight,primary,0.095,old_v400_context__byx__2025_09_28_17_46_00__00047,ok,middle_section,section4,7545.25558,0.0,281.396909,0.0,low,design_regular_road,0,none,,,,,nearest_or_exact,44.51,hybrid_reject_low_evidence,base_dynamic_score=37.36; lateral_support=+0.7; old_v400_nearby=+1.5; old_v400_primary=+5
vehicle_instability_allraw__byx__2025_09_28_17_46_00__000397640,vehicle_instability_all_raw_rescreen_v0_1,byx,2025_09_28_17_46_00,原始车辆数据/byx/Entity_Recording_2025_09_28_17_46_00_vehicle.csv,F:\data_set_process\data_process\01_datasets\数据预处理\原始车辆数据\byx\Entity_Recording_2025_09_28_17_46_00_vehicle.csv,e481ab16165d90e97b5f7ad4a9b5644609e28fb96223f013026d1f1f88437463,397.64,397.64,397.87,0.23,all_raw_vehicle_dynamic_onset_non_steering,instability_roll_only,0,1,1,allraw_nonsteering_seed__byx__2025_09_28_17_46_00__00059,roll_rate,weak,0.060802,1.216031,ok,,21,2601,47,1.7607,-1.7607,0.955223,0.065227,0.058102,3.031612,0.0,132.2392,-0.043459,0.307876,-0.307876,26.21,reject_low_instability_evidence,all_raw_detected_vehicle_instability_onset_predict_future_steering_response,Full raw rescreen. Anchor is derived from non-steering vehicle dynamics (ay/roll_rate). Steering metrics are only response evidence and must not be used to define onset.,1,0,1,0,0.613123,18.849533,1,weak,straight,primary,4.78,old_v400_context__byx__2025_09_28_17_46_00__00079,ok,stop,stop,12240.911338,0.0,859.379408,0.0,very_low,design_special_event_segment,0,none,,,,,nearest_or_exact,33.35,hybrid_reject_low_evidence,base_dynamic_score=26.21; lateral_support=+0.6; old_v400_nearby=+1.5; old_v400_primary=+5
